,name,price,mile_age,make,model,fuel,power,transmission,engine_size,description,linkofproduct,year
480,407,17 000 DT,260,Peugeot,407,Diesel,6,Noir,Manuelle,🚘🚗 407🎯,https://www.tayara.tn/listings/voitures-9/03b27cfb-592a-48c1-929f-22107bf899f7/407,2006
481,Peugeot Partner importé de l´allemagne,23 000 DT,214000,Peugeot,Partner,Diesel,5,Blanc,Utilitaire,la voiture est en trés bonne état. elle a roulé que 14000KM en Tunisie. pour plus d´information veuillez m´appler.,https://www.tayara.tn/listings/voitures-9/f9d3ec70-b31b-484a-bb95-86432bdb1a4a/peugeot-partner-import%C3%A9-de-l%C2%B4allemagne,2010
482,Citroën Jumpy à vendre,0 DT,544000,Citroen,Jumpy,Diesel,5,Blanc,Utilitaire,Num 94 000 777,https://www.tayara.tn/listings/voitures-9/4a208065-638f-4b1c-9858-1b4e1e3917f4/citro%C3%ABn-jumpy-%C3%A0-vendre-,2011
483,Golf 6 Style 1.2 TSI 1ère main,41 000 DT,174100,Volkswagen,Golf 6,Essence,5,Gris,Berline,Golf 6 1.2 TSI bluemotion,https://www.tayara.tn/listings/voitures-9/259f513c-dac4-4525-b594-8663c821e4fa/golf-6-style-1-2-tsi-1%C3%A8re-main,2011
484,Golf 7 TDI 1.6 full option,0 DT,160000,Volkswagen,Golf 7,Diesel,5,Bleu,Autres,Page FB : IDEAL CARS - sadok,https://www.tayara.tn/listings/voitures-9/b216a517-77f2-44bd-988b-ce22d00246a5/golf-7-tdi-1-6-full-option-,2017
485,BMW 316,0 DT,170,BMW,Serie 3,Essence,7,Bleu,Berline,a vendre BMW serie 3 kit M 316 i. boit 6 tout l'état d'origine 2 port toit ouvrant multifonction volant- Bi- Xénon- rétroviseur rabattable intérieur cuir ect.... tel 55 036 736,https://www.tayara.tn/listings/voitures-9/efc9e8cf-fcb1-4624-a665-368ed1f1334e/bmw-316,2009
486,gabes,17 DT,300,Mercedes-Benz,210,Essence,17,Bleu,Autres,a vendre voiture marcedess isons,https://www.tayara.tn/listings/voitures-9/dedf8693-a33c-4643-a64d-bd1a8d571749/gabes,2001
487,Nissan juke,54 DT,156,Nissan,Juke,Diesel,5,Noir,4 x 4,Nissan juke très bonne état,https://www.tayara.tn/listings/voitures-9/707d860d-5b72-4ae7-9ca0-524ad2bcb780/nissan-juke,2015
488,Avendre ou echange b9 bakou,32 000 DT,103000,Peugeot,Partner,Diesel,5,Blanc,Berline,Avendre ou echange b9 Bakou,https://www.tayara.tn/listings/voitures-9/77e137fb-7ee9-4969-a0e7-fe57796cdfb4/avendre-ou-echange-b9-bakou,2017
489,fiat Doblo,17 300 DT,173000,Fiat,Doblo,Diesel,5,Blanc,Cabriolet,karhba nthifa barcha tout options dhina mte3 edar climatiseur en march N25919469,https://www.tayara.tn/listings/voitures-9/662ac963-6ed3-4259-8590-b59941aafdea/fiat-doblo,2014
490,A vendre 106 Peugeot,8 700 DT,273,Peugeot,106,Essence,5,Rouge,Compacte,a vendre 106 Peugeot,https://www.tayara.tn/listings/voitures-9/acaa6a46-ba13-4800-8198-45b6236eca15/a-vendre-106-peugeot,1997
491,Mercedes E 220 BLUEEFFICIENCY avant-garde,0 DT,140000,Mercedes-Benz,Classe E,Diesel,10,Blanc,Berline,La Reine de mercedes-benz e 220 avant-garde Blueefficiency 1er main touts options ( voiture neuf),https://www.tayara.tn/listings/voitures-9/6c6c06f9-af5d-4592-8fa7-06113fca898c/mercedes-e-220-blueefficiency-avant-garde,2010
492,Clio classique nadifa,20 800 DT,150,Renault,Clio,Essence,5,Doré,Compacte,Clio classique nadifa barcha,https://www.tayara.tn/listings/voitures-9/ff94d50f-a38e-41e7-b8f6-9f5e91ef14ed/clio-classique-nadifa,2008
493,POUR ÉCHANGE,0 DT,300000,Renault,Express,Diesel,6,Blanc,Utilitaire,en très bonne état intérieur et extérieur,https://www.tayara.tn/listings/voitures-9/8c821ca9-e184-4a01-aa50-3ebaf78f295e/pour-%C3%A9change,1989
494,205 4ch essence,7 500 DT,250,Peugeot,205,Essence,4,Rouge,Compacte,ndifa,https://www.tayara.tn/listings/voitures-9/eb8106e3-6d2e-4c24-af6a-141aee99863c/205-4ch-essence,1990
495,pegeaut exper 2,0 DT,1,Peugeot,Expert,Diesel,7,Blanc,Avec kilométrage,ndhifa barchaaa 97244000,https://www.tayara.tn/listings/voitures-9/4b2ca693-497d-421d-97bf-71011002aad0/pegeaut-exper-2,2006
496,"Peugeot 406 feriana ,,41271137",11 000 DT,400,Peugeot,406,Essence,7,Gris,Berline,"pneux et distribution neuf,moteur bon etat",https://www.tayara.tn/listings/voitures-9/2b6beaee-ab72-4d67-b90e-3e7163d019fd/peugeot-406-feriana-41271137,2000
497,voiture a vendre,22 500 DT,117000,Chevrolet,Aveo,Essence,22500,Noir,Nouveau,chevolet aveo,https://www.tayara.tn/listings/voitures-9/6d4c87d6-4eed-4b8a-8350-478c0fb71e20/voiture-a-vendre,2017
498,Megane,0 DT,209000,Renault,Megane,Diesel,6,Gris,Berline,A vendre megane 3 1.5,https://www.tayara.tn/listings/voitures-9/7596d237-0820-47a7-8e20-f595d59232ef/megane-,2010
499,Mmmm,26 920 703 DT,140,Kia,Rio,Essence,5,Marron,Nouveau,Mmmm,https://www.tayara.tn/listings/voitures-9/082628ba-186e-42d4-b90d-b5511c035c55/mmmm,2014
500,🇧🇪polo 4,0 DT,200,Volkswagen,Polo,Essence,5,Gris,Berline,tout option,https://www.tayara.tn/listings/voitures-9/71f4d653-02b1-4668-96b7-aa82d10cb42d/%F0%9F%87%A7%F0%9F%87%AApolo-4,2000
501,Golf 4,18 DT,300,Volkswagen,Golf 4,Essence,5,Gris,Compacte,,https://www.tayara.tn/listings/voitures-9/48eb23ef-df64-4716-b511-a36e5de0cd2d/golf-4,2002
502,punto 3,18 500 DT,192500,Fiat,Punto,Essence,5,Rouge,Avec kilométrage,Punto en très bonne état tout a l état d origine ttoptions 1ere main GSM 99183607,https://www.tayara.tn/listings/voitures-9/19744f53-d61a-49ff-86ea-da0396d53f9f/punto-3,2007
503,vente toyota Corolla modèle 2003,21 800 DT,224100,Toyota,Corolla,Essence,6,Doré,Avec kilométrage,Toyota Corolla modèle 2003:,https://www.tayara.tn/listings/voitures-9/dfbc3b7a-e66c-4072-8f81-7ca1db28eba8/vente-toyota-corolla-mod%C3%A8le-2003,2003
504,a vendre passat TDI 1.9 6CV trendline année 2008,29 500 DT,206000,Volkswagen,Passat,Diesel,6,Gris,Berline,a vendre passat TDI 1.9 6CV trendline année 2008,https://www.tayara.tn/listings/voitures-9/d2fb3b5c-0420-43b2-8cc9-0c0ac1c43581/a-vendre-passat-tdi-1-9-6cv-trendline-ann%C3%A9e-2008,2008
505,23 043 721 polo 3 4cv fermeture centralisée alarme,12 300 DT,300,Volkswagen,Polo,Essence,4,Vert,Berline,23043721,https://www.tayara.tn/listings/voitures-9/9f515f76-abf4-4161-a7c5-cb958c938537/23-043-721-polo-3-4cv-fermeture-centralis%C3%A9e-alarme,200
506,BMW SÉRIE 520i LUXURY,1 DT,64000,BMW,Serie 5,Essence,10,Noir,Berline,BMW 520i luxry:,https://www.tayara.tn/listings/voitures-9/9af984d3-f385-4cb9-a22a-0f7cf73f9576/bmw-s%C3%A9rie-520i-luxury,2018
507,Mazda BT50,52 DT,100,Mazda,BT-50,Diesel,10,Gris,4 x 4,Première main avec peinture d'origine tt options .,https://www.tayara.tn/listings/voitures-9/6897a327-2254-42b3-a1e3-dab333d1e028/mazda-bt50-,2015
508,Citroën C4 k8,23 DT,200,Citroen,C4,Essence,6,Gris,Compacte,Citroën c4 première main phase deux tt. Option jante allu par 16 climatisé. double clé. Carnet d'entretien,https://www.tayara.tn/listings/voitures-9/9ac49141-d6c9-4631-87e9-b0648e988259/citro%C3%ABn-c4-k8,2010
509,ديماكس خليجية جديدة مش مستعملة,98 373 965 DT,4000,Isuzu,D-MAX,Diesel,8,Blanc,Pick up,ديماكس خليجية جديدة مش مستعملة ماشية 4000 كم,https://www.tayara.tn/listings/voitures-9/f10409c2-8389-4e26-88db-bb579b33da52/%D8%AF%D9%8A%D9%85%D8%A7%D9%83%D8%B3-%D8%AE%D9%84%D9%8A%D8%AC%D9%8A%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D9%85%D8%B4-%D9%85%D8%B3%D8%AA%D8%B9%D9%85%D9%84%D8%A9,2019
510,clio pré compus,1 DT,367000,Renault,Clio,Essence,4,Manuelle,1.2,"clio 4 cv peinture d,origine câble très bien entretenu doubles des clés.....20991507",https://www.tayara.tn/listings/voitures-9/0455f50f-14f9-408d-94df-c3771a78dd32/clio-pr%C3%A9-compus,2004
511,Fiat 500 très propre,28 500 DT,139000,Fiat,500,Essence,4,Gris,Compacte,A vendre une Fiat 500 très propre toute options : télé : 50991093,https://www.tayara.tn/listings/voitures-9/e1a5b9d4-9359-47e4-98b2-0fceeeff888b/fiat-500-tr%C3%A8s-propre-,2010
512,Polo 7,0 DT,119,Volkswagen,Polo,Essence,5,Noir,Berline,VOLKSWAGEN POLO 7 smartline,https://www.tayara.tn/listings/voitures-9/343ea060-01d4-4880-8350-47248799434d/polo-7,2016
513,A vendre clio chipé,11 DT,218000,Renault,Clio,Essence,4,Blanc,Autres,"Clio chipé 4 ch essence moteur bombé câble année 1997 km 218 prix 10,700 DT karahba chbeba 90 071 708",https://www.tayara.tn/listings/voitures-9/d9fd1d74-d164-49cb-901a-b8f0231b9451/a-vendre-clio-chip%C3%A9-,1997
514,a vendre vélo btwin,250 DT,0,Autres,Autres,Essence,1,Noir,Compacte,Vélo btwin Fille et Garçon tel 98474056,https://www.tayara.tn/listings/voitures-9/6e2a69ef-47c5-4d56-878a-0539ce0aa555/a-vendre-v%C3%A9lo-btwin,2019
515,A4 Break Série Limité,22 500 DT,275000,Audi,A4,Diesel,7,Gris,Berline,1.9 TDI 130cv,https://www.tayara.tn/listings/voitures-9/e3c2fe8e-3cb6-4756-a266-79aee7bfaa16/a4-break-s%C3%A9rie-limit%C3%A9,2000
516,Jeep cherokee xj,0 DT,245000,Jeep,Cherokee,Essence,8,Bleu,4 x 4,A vendre JEEP cherokee 1992 en tres bon etat,https://www.tayara.tn/listings/voitures-9/38e5384e-7d9d-4bfc-b2ff-e5dfa153bf6c/jeep-cherokee-xj,1992
517,Citroën ax,6 000 DT,370000,Citroen,AX,Essence,4,Rouge,Utilitaire,Karhba bon état mouter wtola,https://www.tayara.tn/listings/voitures-9/cbc8cbb3-ade3-4a64-977e-0dd45e7bd58a/citro%C3%ABn-ax,1992
518,Phare clio 2 bombé,0 DT,150000,AC,Cobra,Essence,4,Manuelle,1.2,2 phares avant de clio 2 bombé,https://www.tayara.tn/listings/voitures-9/3ba86f08-3f23-4341-be9e-5fa456768bb6/phare-clio-2-bomb%C3%A9,2000
519,opel Astra H diesel,18 000 DT,200000,Opel,Astra,Diesel,6,Gris,Berline,"A vendre une belle voiture Opel Astra H diesel, voiture spacieuse très propre",https://www.tayara.tn/listings/voitures-9/595d01ea-163e-4942-9543-7fd614c973eb/opel-astra-h-diesel,2005
520,a vendre peugeot 106 num 20016009,0 DT,160,Peugeot,106,Essence,4,Vert,Autres,"a vendre peugeot 106 vitres elctr ,fermeture centrale, série 93",https://www.tayara.tn/listings/voitures-9/6a502d2e-8de0-4324-9339-94823dea5ac2/%09a-vendre-peugeot-106-num-20016009,2000
521,DACIA MCV 1 ER MAIN,0 DT,92,Dacia,Logan MCV,Essence,5,Gris,Compacte,Karhba 1er main,https://www.tayara.tn/listings/voitures-9/f0b068a4-23dd-4e6f-8459-db9a27c5c08c/dacia-mcv-1-er-main-,2016
522,OPEL CORSA C,0 DT,156000,Opel,Corsa,Essence,4,Rose,Berline,Marque Opel Modèle Corsa Carburant Essence Puissance fiscale 4cv modele 2001,https://www.tayara.tn/listings/voitures-9/5ba9e0fa-6426-4910-b77a-a79d50653176/opel-corsa-c,2001
523,Etrier de frein gauche citroën c2,150 DT,250,Citroen,C2,Essence,5,Manuelle,1.1,Etrier de frein gauche citroën c2 origine dans l'emballage,https://www.tayara.tn/listings/voitures-9/e4b0eaa2-b9c7-4d28-a1a5-9e2a7477acfd/etrier-de-frein-gauche-citro%C3%ABn-c2,2004
524,Renault symbol,22 700 DT,230000,Renault,Symbol,Essence,5,Noir,Compacte,symbol annee fin 2010 essence 5 chevaux....,https://www.tayara.tn/listings/voitures-9/81f1f490-031c-45eb-86f5-0705ab7f0d66/renault-symbol,2010
525,Av Fiat Punto classique 3,16 900 DT,159,Fiat,Punto,Essence,5,Bleu,Compacte,Num 92391607,https://www.tayara.tn/listings/voitures-9/ef639bed-1499-433c-8569-f6d36f665b4d/av-fiat-punto-classique-3,2008
526,Chevrolet,17 DT,27,Chevrolet,Aveo,Essence,99745729,Manuelle,<1.0,Aveo,https://www.tayara.tn/listings/voitures-9/46e7f75d-4c24-4d5b-a3ce-fdc42a8cb1c9/chevrolet,2009
527,Mazda 2,50 900 DT,17000,Mazda,2,Essence,6,Blanc,Compacte,"Mazda 2 1,5L toute neuve",https://www.tayara.tn/listings/voitures-9/6de25c8b-fb05-40f0-9de6-bcf305416241/mazda-2,2018
528,belle 206,15 600 DT,170,Peugeot,206,Essence,4,Gris,Autres,tt option,https://www.tayara.tn/listings/voitures-9/56a489f0-d7fe-4ca0-bb01-f11ea2d78490/belle-206,208
529,berlingo b9 Model 2012 tt option en bon état,22 500 DT,220,Citroen,Berlingo,Diesel,5,Noir,Berline,Citroën berlingo b9,https://www.tayara.tn/listings/voitures-9/140934ce-8425-4827-b189-8a7a236d8e3b/berlingo-b9-model-2012-tt-option-en-bon-%C3%A9tat,2012
530,feu golf 7,0 DT,50,Volkswagen,Golf 7,Essence,5,Noir,Compacte,av feu arriere golf 7 d origine,https://www.tayara.tn/listings/voitures-9/84e0c33c-3629-4436-bd23-f1908a7fa7b8/feu-golf-7-,2222
531,Peugeot 301 tres propres,26 500 DT,114,Peugeot,301,Essence,5,Bleu,Berline,,https://www.tayara.tn/listings/voitures-9/edbb0c26-7a22-47aa-8f77-29d550830679/peugeot-301-tres-propres,2014
532,BMW serie 3 f30 luxury 316i toit ouvrant cuir brown camera de recule bva neuf,100 DT,55000,BMW,Serie 3,Essence,7,Noir,Berline,Unique bmw serie 3 f30 bva 316i essence luxury edition a l etat neuf modele 2016 dd1ermc 10/2015 voiture unique 1er main toute neuve tres peut circuler 58000km toute options -toit panoramique ouvrant -boite automatique -interieur cuir brown neuf -sieges electrique avec memoire de position -camera de recule +park assist -jantes 17 pouces -curieux a sabstenir serie tu 184 tel 52259213,https://www.tayara.tn/listings/voitures-9/4c0f7954-5ce6-4bac-bf96-c09f61f1bcc3/bmw-serie-3-f30-luxury-316i-toit-ouvrant-cuir-brown-camera-de-recule-bva-neuf,2016
533,C4 diesel 1.6,0 DT,200,Citroen,C4,Diesel,5,Gris,Autres,C4 diesel moteur 1.6 en bonne état toute option Prix par téléphone,https://www.tayara.tn/listings/voitures-9/110afbf3-6413-4f4b-9b6f-6d5efcc6a4b4/c4-diesel-1-6-,2009
534,jetta3 1.9 tdi,20 000 DT,750000,Volkswagen,Jetta,Diesel,6,Blanc,Berline,au compteur 750000 changer par l'ancien propriétaire réellement 400000 sinon moteur récemment changer.,https://www.tayara.tn/listings/voitures-9/09fafab1-114c-4501-8063-3b027deff907/jetta3-1-9-tdi,2008
535,Peugeot 508,27 500 DT,190,Peugeot,508,Essence,9,Noir,Berline,Peugeot 508 en éxellant état tt option boite 6 manuelle mon tel 56868030,https://www.tayara.tn/listings/voitures-9/b28b68f4-c2b5-48cd-9168-1e00fb92c0f9/peugeot-508,2011
536,seat,12 DT,140,Seat,Toledo,Essence,7,Rouge,Berline,climatisé fermeture centrale gente allume,https://www.tayara.tn/listings/voitures-9/0da75090-2e4f-497d-858a-dd005a29a56c/seat,1998
537,Mercedes A180 première main,0 DT,154000,Mercedes-Benz,Classe A,Diesel,6,Argent,Autres,Mercedes classe A180 première main tt d'origine,https://www.tayara.tn/listings/voitures-9/f728f0da-82b7-474d-ac05-736e0014e25f/mercedes-a180-premi%C3%A8re-main,2008
538,Ford focus Ecoboost Titanum,45 600 DT,88000,Ford,Focus,Essence,6,Bleu,Berline,Ford focus Ecoboost Titanum,https://www.tayara.tn/listings/voitures-9/5b6b76d4-5d66-4994-93a4-9e9e921da704/ford-focus-ecoboost-titanum,2016
539,Chevrolet Aveo Ls presque neuve,24 900 DT,78000,Chevrolet,Aveo,Essence,5,Noir,Compacte,Karahba jdida we ndifa (peinture d origine WE moteur ndif) toutes options:clim .chauffage.4 vitres électriques. sécurité enfants.fermeture à distance portes et malle,https://www.tayara.tn/listings/voitures-9/43ee1d13-3995-4c66-8e5c-b1a857b53c1c/chevrolet-aveo-ls-presque-neuve,2017
540,🎖️ TOYOTA AVANZA 🎖️,27 800 DT,120,Toyota,Corolla verso,Essence,5,Gris,Monospace,🚦A vendre 🚦,https://www.tayara.tn/listings/voitures-9/045e3b69-c2f0-47fe-b244-5eb1a9a2ab77/%F0%9F%8E%96%EF%B8%8F-toyota-avanza-%F0%9F%8E%96%EF%B8%8F,2013
541,a vendre Mercedes s320,0 DT,310,Mercedes-Benz,Classe S,Essence,16,Argent,Berline,w220,https://www.tayara.tn/listings/voitures-9/c4e7996f-e4ea-4897-a2d4-027cb84c341a/a-vendre-mercedes-s320,2004
542,Grande punto 98667885,27 500 DT,140000,Fiat,Grande Punto,Essence,4,Noir,Utilitaire,Grande punto tout options noir présidentiel,https://www.tayara.tn/listings/voitures-9/7c3e201f-d47a-4437-9b30-23b3d08ca315/grande-punto-98667885,2016
543,Ford Focus titanium a vendre,37 DT,215,Ford,Focus,Essence,7,Rouge,Compacte,À vendre Ford focus titanium,https://www.tayara.tn/listings/voitures-9/03a312c5-40e5-4b84-b7a0-83e72f39924f/ford-focus-titanium-a-vendre-,2015
544,Peugeot 206,16 000 DT,145700,Peugeot,206,Essence,4,Gris,Autres,"Peugeot 206 en très bon état, fransawia",https://www.tayara.tn/listings/voitures-9/fd9c4235-6b0f-4932-9b9b-af860598ea12/peugeot-206,2002
545,208 taxi,22 DT,430,Peugeot,208,Diesel,5,Jaune,Cabriolet,208 taxi mechiya 430km karhba ndhifa barcha mezel feha 5edma jusqu'à mais 2021ou kembiyella 680td embraye jdida amortisseur avant neuf avntra kolo jdid ou GPS,https://www.tayara.tn/listings/voitures-9/56f336d1-735d-495a-9cda-97f37d68b853/208-taxi,2016
546,VOLKSWAGEN TRANSPORTER 7 Places,35 000 DT,240000,Volkswagen,Transporter,Diesel,7,Blanc,Utilitaire,,https://www.tayara.tn/listings/voitures-9/4f82f943-ac3d-405f-909d-ddebb307e127/volkswagen-transporter-7-places,2010
547,Vente ou Echange d'une Berline Sportive de Luxe,33 000 DT,179000,Alfa Romeo,159,Essence,12,Noir,Berline,"A vendre une très belle Alfa 159 TBi, très bien entretenue année août 2010, 12cv Fiscaux, 200cv Dynamique et 320 Nm de couple.",https://www.tayara.tn/listings/voitures-9/87ed2fac-76a0-47dd-b3e4-58b11622d14c/vente-ou-echange-d'une-berline-sportive-de-luxe,2010
548,clio classic,18 500 DT,270000,Renault,Clio,Essence,5,Noir,Manuelle,a vendre clio classic modele 2008 moteur symbole,https://www.tayara.tn/listings/voitures-9/a478293c-066b-4599-8abf-9349d7b4b8ee/clio-classic,2008
549,GOLF 1 A VENDRE,4 600 DT,10000,Volkswagen,Golf,Diesel,5,Manuelle,>4.0,a vendre GOLF 1,https://www.tayara.tn/listings/voitures-9/21be019c-18b9-4952-a7e3-8af9fa6ca560/golf-1-a-vendre,1988
550,voiture a vendre n 94364888,9 500 DT,0,Peugeot,106,Essence,5,Blanc,Autres,106 ndifa barcha kol chay dorigine,https://www.tayara.tn/listings/voitures-9/e6802d18-3fc1-4bbe-a3b8-f86871925fcf/voiture-a-vendre-n-94364888,1998
551,fiat panda,21 DT,111000,Fiat,Panda,Essence,4,Manuelle,<1.0,⚜️ FIAT PANDA ⚜️,https://www.tayara.tn/listings/voitures-9/545197d2-ed0b-4a92-bda0-9b7c621ce1ac/fiat-panda,2010
552,Fiat Siena,16 000 DT,245,Fiat,Siena,Essence,5,Noir,Autres,Krhba ndhifa brcha,https://www.tayara.tn/listings/voitures-9/c4664f9b-626c-44d0-b3ba-bc8fd829e969/fiat-siena,2005
553,fiat fiorino,26 500 DT,104000,Fiat,Fiorino,Diesel,5,Gris,Autres,presque neuf,https://www.tayara.tn/listings/voitures-9/ea58ad2b-92d2-4373-ac5d-c314520f249a/fiat-fiorino,2018
554,mazda2,41 500 DT,74000,Mazda,2,Essence,6,Gris,Compacte,a vendre mazda2 .........1ère main,https://www.tayara.tn/listings/voitures-9/b70b5c21-e661-4e84-b48f-bd6a4c8ffa8e/mazda2,2016
555,A vendre isuzu npr 2007,0 DT,430,Isuzu,D-MAX,Diesel,25,Bleu,Compacte,isuzu npr 2007,https://www.tayara.tn/listings/voitures-9/517a20c3-e67c-4bb6-b92d-ad328f8be8a5/a-vendre-isuzu-npr-2007,17
556,clio chepi essence,9 800 DT,250,Renault,Clio,Essence,4,Blanc,Compacte,tre bon etat kol chay march 4ch essence,https://www.tayara.tn/listings/voitures-9/09d3e9a3-66e4-4e1f-a12f-9e7a78323bfb/clio-chepi-essence,1997
557,Suzuki Swift 1.3 av ou echange,3 300 DT,155,Suzuki,Swift,Essence,6,Blanc,Monospace,"voiture sport moteur 1.3 à 4 cylindres 6 cv essence année 1990 moteur mbadel jdid bakou mechi 155 km d'origine mta3ha et mecanique en trés bon état moteur dam3a ,train arriere multi link ,coil spring fih 2 bras stérilisé donc suspension mta3ha w demaragha 5ar9in lil 3ada w tet2a9lem fi ay type de terrain maghir ma t7es brakza wala 5adha fil karhba kol chay fiha l'origine mta3ha el sala wil moteur w tous les compteurs wil kilometrage ye5dmou #compteur vitesse bil mile par heure et klm par heures, les deux contient#",https://www.tayara.tn/listings/voitures-9/ee151068-9cb8-4b64-95a7-ed2d93ebe1c1/suzuki-swift-1-3-av-ou-echange,1990
558,peugeot 301 allure,32 000 DT,48000,Peugeot,301,Essence,5,Gris,Manuelle,,https://www.tayara.tn/listings/voitures-9/fe759be6-3326-4381-85c9-7a0d7331f764/peugeot-301-allure,2015
559,nissan evian,0 DT,255000,Nissan,Evalia,Diesel,10,Blanc,Berline,,https://www.tayara.tn/listings/voitures-9/943d5b11-c49b-4614-b5bd-a6122adabc5b/nissan-evian,2007
560,Citroen C4,23 500 DT,200000,Citroen,C4,Essence,6,Noir,Compacte,toutes options,https://www.tayara.tn/listings/voitures-9/6b68bd88-9de7-430b-8305-d7a4434666bb/citroen-c4,2008
561,RENAULT MEGANE 2 DCI,14 500 DT,350000,Renault,Megane,Diesel,5,Noir,Autres,À vendre MEGANE 2 DCI Diesel PREMIÈRE MAIN TTE options année 2004 et très bon état.,https://www.tayara.tn/listings/voitures-9/8932322e-c609-46ee-90b4-79e63bd660c7/renault-megane-2-dci,2004
562,Volkswagen Touran essence état neuf,0 DT,150,Volkswagen,Touran,Essence,6,Beige,Monospace,"Je mets en vente ou échange une très belle voiture familiale VOLKSWAGEN TOURAN dernier série 217, modèle fin 2010, 150 Mkm, 1.4 essence, boite auto DSG avec palette au volant, full options ( palette au volant, régulateur et limiteur de vitesse, radar de stationnement, 4 vitres électriques, climatronic bi-zone, volant multi-fonctions...)",https://www.tayara.tn/listings/voitures-9/8c271877-7460-4d1a-8709-a6c10e59414f/volkswagen-touran-essence-%C3%A9tat-neuf,2010
563,golf 5,280 000 DT,140,Volkswagen,Golf 5,Diesel,6,Noir,Avec kilométrage,golf 5 tout option 22605098,https://www.tayara.tn/listings/voitures-9/35c4b5d6-d8e0-4832-8563-d98f3de2950a/golf-5-,190
564,Peugeot 208 allure en super état,28 800 DT,90000,Peugeot,208,Essence,5,Autre,Autres,"voiture a l'état neuf de couleur original rose metal, ex femme médecin, vidange et entretien chez maison Peugeot avec carnet et factures, visite technique juin 2021, vignette 2020 ,4 roues neuves Bridgestone, mécanique et tôle a l état origine disponible a bardo , Eli yheb ya3ml diagnostic ou bien ychouf mécanicien marahbé mafamech 9la9..",https://www.tayara.tn/listings/voitures-9/0fba90ab-b009-40c0-8b22-18fe94f60afd/peugeot-208-allure-en-super-%C3%A9tat,2013
565,r 21 feha jjj kilass ma7rou9,4 000 DT,48545,Acrea,Zest,Diesel,6,Noir,Compacte,r 21 feha jj kilass ma7rou9 53015220,https://www.tayara.tn/listings/voitures-9/dd76bfb7-cf47-4c86-a4a0-79d7d3e30e5b/r-21-feha-jjj-kilass-ma7rou9-,555555
566,Ford fiesta Ghia neeeeuf🎲🎲🎲,0 DT,179,Ford,Fiesta,Essence,5,Gris,Berline,Je me avendre une ford fiesta Ghia,https://www.tayara.tn/listings/voitures-9/05af11aa-e2e9-41a0-b133-86f73455678c/ford-fiesta-ghia-neeeeuf%F0%9F%8E%B2%F0%9F%8E%B2%F0%9F%8E%B2,2007
567,Citroën jumper,22 500 DT,230000,Citroen,Jumper,Diesel,7,Blanc,Monospace,Citroën jumper en très bon état les pneus neufs papiers réglé nmr:98248803,https://www.tayara.tn/listings/voitures-9/7d7e966c-22b1-43c8-beac-52ca62f9ff9c/citro%C3%ABn-jumper-,2012
568,fiat,16 500 DT,220,Fiat,Grande Punto,Diesel,4,Noir,Avec kilométrage,55477117,https://www.tayara.tn/listings/voitures-9/14841fe9-3b87-4385-986f-53b5bdac44c0/fiat,2007
569,Polo3 a vendre,0 DT,380,Volkswagen,Polo,Essence,4,Noir,Autres,Bonne état,https://www.tayara.tn/listings/voitures-9/f4288ff6-2469-47cb-acc2-084b838156c6/polo3-a-vendre,99
570,Peugeot 307,0 DT,216,Peugeot,307,Essence,7,Gris,RS,Année 2003 kilométrage: 216km essence série :207 puissance fiscale:7,https://www.tayara.tn/listings/voitures-9/ff7c51d1-7f97-452e-b929-32a0c8b08402/peugeot-307,2003
571,Kamion yuejin ndif,0 DT,120,AC,Cobra,Diesel,444,Manuelle,1.2,Kamion yuejin ndif,https://www.tayara.tn/listings/voitures-9/2f0d575c-25cb-48fe-b76a-fc6283c47517/kamion-yuejin-ndif,2007
572,Voiture Toyota CH-R à vendre,0 DT,13700,Toyota,RAV 4,Essence,6,Blanc,Autres,Prix : 45 millions (reste 40 millions sur leasing),https://www.tayara.tn/listings/voitures-9/18ef4076-f16f-4918-92fc-ab5513ba147b/voiture-toyota-ch-r-%C3%A0-vendre,2018
573,DACIA MCV,31 000 DT,140000,Dacia,Logan MCV,Essence,5,Bleu,Autres,"a vendre une Dacia Login MCV en très bon état, presque neuve toutes options",https://www.tayara.tn/listings/voitures-9/b6fc94f7-6a81-49ad-84b6-69f18f5b9f08/dacia-mcv,2017
574,Nissan navara très propre 97843512,0 DT,150,Nissan,Navara,Diesel,10,Manuelle,2.5,Nissan navara très propre 1ère main toute options kol chay feha d'origine double clé avec alarme d'origine tel 97843512,https://www.tayara.tn/listings/voitures-9/dea8bd73-e274-493a-88cf-ca52a76a04a4/nissan-navara-tr%C3%A8s-propre-97843512,2014
575,Citroen C4 phase 2,36 800 DT,100,Citroen,C4,Essence,6,Noir,Berline,Voiture tte neuve .,https://www.tayara.tn/listings/voitures-9/ba87d1f0-867f-4a3d-9c5a-cbb9f901af26/citroen-c4-phase-2,2016
576,Peugeot 107 4 porte,0 DT,150,Citroen,C1,Essence,4,Noir,Autres,voiture neuve toutes options 4cv année 2012,https://www.tayara.tn/listings/voitures-9/b8e55040-fe74-41ac-83af-34a5887e2b42/peugeot-107-4-porte-,2012
